"Local", "undefined"
"Rondônia", 272328
"Pará", 1454390
"Amazonas", 713666
"Roraima", 93652
"Tocantins", 249691
"Acre", 159416
"Amapá", 135995
"Piauí", 488300
"Maranhão", 1197628
"Ceará", 1221954
"Pernambuco", 1316293
"Alagoas", 503322
"Sergipe", 334473
"Paraíba", 568156
"Bahia", 2079459
"Minas Gerais", 2549399
"Espírito Santo", 504055
"Rio Grande do Norte", 475645
"São Paulo", 5276326
"Santa Catarina", 843520
"Rio de Janeiro", 2019459
"Paraná", 1440374
"Rio Grande do Sul", 1323307
"Mato Grosso do Sul", 404450
"Mato Grosso", 463469
"Goiás", 877890
"Distrito Federal", 381463
