"Local", "undefined"
"Rondônia", 39040
"Pará", 235440
"Amazonas", 119235
"Roraima", 18563
"Tocantins", 41022
"Acre", 26823
"Amapá", 21094
"Piauí", 93420
"Maranhão", 232806
"Ceará", 232131
"Pernambuco", 230253
"Alagoas", 82577
"Sergipe", 58995
"Paraíba", 97163
"Bahia", 363451
"Minas Gerais", 474996
"Espírito Santo", 100833
"Rio Grande do Norte", 89119
"São Paulo", 1112097
"Santa Catarina", 182287
"Rio de Janeiro", 363638
"Paraná", 262676
"Rio Grande do Sul", 239256
"Mato Grosso do Sul", 68616
"Mato Grosso", 95540
"Goiás", 152702
"Distrito Federal", 68162
