"Local", "undefined"
"Acari", 23825
"Açu", 98920
"Afonso Bezerra", 34590
"Água Nova", 14059
"Alexandria", 42149
"Almino Afonso", 16152
"Alto do Rodrigues", -
"Angicos", 20119
"Antônio Martins", 15757
"Apodi", 61117
"Areia Branca", 70847
"Arês", 36143
"Augusto Severo", 19737
"Baía Formosa", 22373
"Baraúna", -
"Barcelona", -
"Bento Fernandes", 15655
"Bodó", 19459
"Bom Jesus", 19975
"Brejinho", 26778
"Caiçara do Norte", 12637
"Caiçara do Rio do Vento", 12323
"Caicó", 123033
"Campo Redondo", 27146
"Canguaretama", 62920
"Caraúbas", 38890
"Carnaúba dos Dantas", 16966
"Carnaubais", 33459
"Ceará-Mirim", 130287
"Cerro Corá", 28279
"Coronel Ezequiel", 13695
"Coronel João Pessoa", 16392
"Cruzeta", 18860
"Currais Novos", 74094
"Doutor Severiano", 18438
"Parnamirim", 385730
"Encanto", 15672
"Equador", 16248
"Espírito Santo", 20423
"Extremoz", 72936
"Felipe Guerra", 26026
"Fernando Pedroza", 12647
"Florânia", 17382
"Francisco Dantas", 12211
"Frutuoso Gomes", -
"Galinhos", -
"Goianinha", 72612
"Governador Dix-Sept Rosado", 33994
"Grossos", -
"Guamaré", 201421
"Ielmo Marinho", 39405
"Ipanguaçu", -
"Ipueira", 11964
"Itajá", 17551
"Itaú", -
"Jaçanã", 15881
"Jandaíra", 20046
"Janduís", 14673
"Januário Cicco", 21819
"Japi", 14829
"Jardim de Angicos", 12951
"Jardim de Piranhas", 30763
"Jardim do Seridó", 21109
"João Câmara", 70737
"João Dias", 11390
"José da Penha", 15049
"Jucurutu", 42315
"Jundiá", 13478
"Lagoa d'Anta", 13962
"Lagoa de Pedras", 19098
"Lagoa de Velhos", 12002
"Lagoa Nova", 34857
"Lagoa Salgada", 18827
"Lajes", 27988
"Lajes Pintadas", 14634
"Lucrécia", 12262
"Luís Gomes", 20887
"Macaíba", 154920
"Macau", 82450
"Major Sales", 14960
"Marcelino Vieira", 16051
"Martins", 19168
"Maxaranguape", 22378
"Messias Targino", 14010
"Montanhas", 21470
"Monte Alegre", 51823
"Monte das Gameleiras", 11869
"Mossoró", 519899
"Natal", 2087214
"Nísia Floresta", 56164
"Nova Cruz", 56390
"Olho d'Água do Borges", 15572
"Ouro Branco", 13466
"Paraná", 14497
"Paraú", 13224
"Parazinho", 20275
"Parelhas", 37634
"Rio do Fogo", 34243
"Passa e Fica", 26994
"Passagem", 12683
"Patu", 27109
"Santa Maria", -
"Pau dos Ferros", 60560
"Pedra Grande", 22217
"Pedra Preta", 12078
"Pedro Avelino", 17245
"Pedro Velho", 34021
"Pendências", 36831
"Pilões", -
"Poço Branco", 29632
"Portalegre", 19116
"Porto do Mangue", 28207
"Serra Caiada", 24412
"Pureza", 22763
"Rafael Fernandes", -
"Rafael Godeiro", 14493
"Riacho da Cruz", 13110
"Riacho de Santana", 15310
"Riachuelo", 18922
"Rodolfo Fernandes", 15544
"Tibau", 27563
"Ruy Barbosa", 12962
"Santa Cruz", 74277
"Santana do Matos", 28283
"Santana do Seridó", 10731
"Santo Antônio", 47618
"São Bento do Norte", 19593
"São Bento do Trairí", 13082
"São Fernando", 13263
"São Francisco do Oeste", 11348
"São Gonçalo do Amarante", 210442
"São João do Sabugi", 15012
"São José de Mipibu", 92981
"São José do Campestre", 24796
"São José do Seridó", 16430
"São Miguel", 44926
"São Miguel do Gostoso", 25598
"São Paulo do Potengi", 38977
"São Pedro", 15827
"São Rafael", 15434
"São Tomé", 27545
"São Vicente", 15286
"Senador Elói de Souza", 16948
"Senador Georgino Avelino", 13721
"Serra de São Bento", 14068
"Serra do Mel", 35147
"Serra Negra do Norte", 16353
"Serrinha", 18587
"Serrinha dos Pintos", 13755
"Severiano Melo", 17218
"Sítio Novo", 15332
"Taboleiro Grande", 12494
"Taipu", 25244
"Tangará", 31726
"Tenente Ananias", 21851
"Tenente Laurentino Cruz", 27115
"Tibau do Sul", 42983
"Timbaúba dos Batistas", 12263
"Touros", 63217
"Triunfo Potiguar", 13195
"Umarizal", 19587
"Upanema", 39072
"Várzea", 12896
"Venha-Ver", 15468
"Vera Cruz", 25689
"Viçosa", -
"Vila Flor", 12182
