"Local", "undefined"
"Acari", 4.0
"Açu", 2.6
"Afonso Bezerra", 3.0
"Água Nova", 4.0
"Alexandria", 3.6
"Almino Afonso", 3.8
"Alto do Rodrigues", 3.3
"Angicos", 3.3
"Antônio Martins", 2.7
"Apodi", 3.7
"Areia Branca", 2.7
"Arês", 2.2
"Augusto Severo", 3.2
"Baía Formosa", 3.3
"Baraúna", 2.7
"Barcelona", 3.4
"Bento Fernandes", 2.6
"Bodó", -
"Bom Jesus", 3.0
"Brejinho", 3.0
"Caiçara do Norte", 3.2
"Caiçara do Rio do Vento", 2.3
"Caicó", 3.3
"Campo Redondo", 3.4
"Canguaretama", 2.6
"Caraúbas", 3.5
"Carnaúba dos Dantas", 3.9
"Carnaubais", 3.3
"Ceará-Mirim", 3.1
"Cerro Corá", 3.4
"Coronel Ezequiel", 1.9
"Coronel João Pessoa", -
"Cruzeta", 4.4
"Currais Novos", 3.5
"Doutor Severiano", 3.7
"Parnamirim", 3.1
"Encanto", 3.3
"Equador", 2.4
"Espírito Santo", 3.1
"Extremoz", 3.5
"Felipe Guerra", -
"Fernando Pedroza", 3.6
"Florânia", -
"Francisco Dantas", 4.1
"Frutuoso Gomes", 3.0
"Galinhos", 3.3
"Goianinha", 3.2
"Governador Dix-Sept Rosado", 2.7
"Grossos", 3.2
"Guamaré", 3.3
"Ielmo Marinho", 2.6
"Ipanguaçu", -
"Ipueira", 2.3
"Itajá", 3.1
"Itaú", 4.0
"Jaçanã", 2.6
"Jandaíra", 3.7
"Janduís", 2.8
"Januário Cicco", 2.8
"Japi", 1.6
"Jardim de Angicos", 3.0
"Jardim de Piranhas", 3.6
"Jardim do Seridó", 2.5
"João Câmara", 2.9
"João Dias", 3.6
"José da Penha", 3.4
"Jucurutu", -
"Jundiá", 2.9
"Lagoa d'Anta", 3.2
"Lagoa de Pedras", -
"Lagoa de Velhos", 3.1
"Lagoa Nova", 3.6
"Lagoa Salgada", 3.5
"Lajes", 2.2
"Lajes Pintadas", 4.2
"Lucrécia", 2.5
"Luís Gomes", 3.1
"Macaíba", 3.1
"Macau", -
"Major Sales", 3.7
"Marcelino Vieira", 4.1
"Martins", 4.3
"Maxaranguape", 3.0
"Messias Targino", 2.9
"Montanhas", 2.4
"Monte Alegre", 2.7
"Monte das Gameleiras", 3.7
"Mossoró", 3.1
"Natal", 2.9
"Nísia Floresta", 2.7
"Nova Cruz", 3.3
"Olho d'Água do Borges", 5.1
"Ouro Branco", -
"Paraná", 3.0
"Paraú", 3.9
"Parazinho", 3.3
"Parelhas", 3.4
"Rio do Fogo", 3.3
"Passa e Fica", 3.2
"Passagem", 3.2
"Patu", 3.6
"Santa Maria", 2.7
"Pau dos Ferros", 3.7
"Pedra Grande", 2.4
"Pedra Preta", 3.2
"Pedro Avelino", 3.2
"Pedro Velho", 3.6
"Pendências", 2.9
"Pilões", 3.4
"Poço Branco", 2.9
"Portalegre", 2.8
"Porto do Mangue", 2.6
"Serra Caiada", 3.6
"Pureza", 4.3
"Rafael Fernandes", -
"Rafael Godeiro", 3.4
"Riacho da Cruz", 2.7
"Riacho de Santana", 2.4
"Riachuelo", 2.6
"Rodolfo Fernandes", 3.6
"Tibau", 2.9
"Ruy Barbosa", 3.4
"Santa Cruz", 3.1
"Santana do Matos", 5.6
"Santana do Seridó", 2.8
"Santo Antônio", 3.0
"São Bento do Norte", 4.6
"São Bento do Trairí", 3.1
"São Fernando", -
"São Francisco do Oeste", 2.8
"São Gonçalo do Amarante", 4.5
"São João do Sabugi", 2.4
"São José de Mipibu", 2.3
"São José do Campestre", 4.3
"São José do Seridó", 3.4
"São Miguel", 3.2
"São Miguel do Gostoso", 3.0
"São Paulo do Potengi", 2.9
"São Pedro", 3.4
"São Rafael", 2.8
"São Tomé", 4.1
"São Vicente", 2.8
"Senador Elói de Souza", 2.7
"Senador Georgino Avelino", 3.6
"Serra de São Bento", 3.0
"Serra do Mel", 3.4
"Serra Negra do Norte", 3.6
"Serrinha", 3.5
"Serrinha dos Pintos", 3.3
"Severiano Melo", -
"Sítio Novo", -
"Taboleiro Grande", -
"Taipu", 2.9
"Tangará", 3.1
"Tenente Ananias", 3.8
"Tenente Laurentino Cruz", 2.2
"Tibau do Sul", 3.0
"Timbaúba dos Batistas", 3.2
"Touros", 2.8
"Triunfo Potiguar", 3.2
"Umarizal", 3.4
"Upanema", 3.5
"Várzea", 2.4
"Venha-Ver", -
"Vera Cruz", 3.3
"Viçosa", 3.3
"Vila Flor", 2.3
