"Local", "undefined"
"Acari", 1202
"Açu", 8505
"Afonso Bezerra", 1544
"Água Nova", 463
"Alexandria", 1919
"Almino Afonso", 682
"Alto do Rodrigues", 2052
"Angicos", 1581
"Antônio Martins", 934
"Apodi", 4208
"Areia Branca", 3630
"Arês", 2169
"Augusto Severo", 1356
"Baía Formosa", 1376
"Baraúna", 4338
"Barcelona", 618
"Bento Fernandes", 849
"Bodó", 571
"Bom Jesus", 1538
"Brejinho", 1891
"Caiçara do Norte", 939
"Caiçara do Rio do Vento", 565
"Caicó", 7841
"Campo Redondo", 1435
"Canguaretama", 5828
"Caraúbas", 3088
"Carnaúba dos Dantas", 1024
"Carnaubais", 1426
"Ceará-Mirim", 12782
"Cerro Corá", 1781
"Coronel Ezequiel", 820
"Coronel João Pessoa", 733
"Cruzeta", 944
"Currais Novos", 5508
"Doutor Severiano", 990
"Parnamirim", 31667
"Encanto", 878
"Equador", 896
"Espírito Santo", 1245
"Extremoz", 6263
"Felipe Guerra", 955
"Fernando Pedroza", 393
"Florânia", 1192
"Francisco Dantas", 328
"Frutuoso Gomes", 575
"Galinhos", 356
"Goianinha", 5333
"Governador Dix-Sept Rosado", 1743
"Grossos", 1283
"Guamaré", 2802
"Ielmo Marinho", 2103
"Ipanguaçu", 2339
"Ipueira", 261
"Itajá", 1184
"Itaú", 798
"Jaçanã", 1151
"Jandaíra", 1142
"Janduís", 732
"Januário Cicco", 1350
"Japi", 1087
"Jardim de Angicos", 473
"Jardim de Piranhas", 1978
"Jardim do Seridó", 1258
"João Câmara", 5885
"João Dias", 401
"José da Penha", 857
"Jucurutu", 2514
"Jundiá", 496
"Lagoa d'Anta", 1073
"Lagoa de Pedras", 1184
"Lagoa de Velhos", 535
"Lagoa Nova", 2569
"Lagoa Salgada", 1720
"Lajes", 1328
"Lajes Pintadas", 768
"Lucrécia", 554
"Luís Gomes", 1494
"Macaíba", 10477
"Macau", 4040
"Major Sales", 664
"Marcelino Vieira", 1188
"Martins", 1321
"Maxaranguape", 2134
"Messias Targino", 604
"Montanhas", 1947
"Monte Alegre", 2972
"Monte das Gameleiras", 432
"Mossoró", 36848
"Natal", 100543
"Nísia Floresta", 4717
"Nova Cruz", 5985
"Olho d'Água do Borges", 575
"Ouro Branco", 610
"Paraná", 633
"Paraú", 610
"Parazinho", 992
"Parelhas", 3183
"Rio do Fogo", 2178
"Passa e Fica", 1930
"Passagem", 530
"Patu", 1745
"Santa Maria", 877
"Pau dos Ferros", 4088
"Pedra Grande", 728
"Pedra Preta", 430
"Pedro Avelino", 964
"Pedro Velho", 2288
"Pendências", 1916
"Pilões", 524
"Poço Branco", 2237
"Portalegre", 1054
"Porto do Mangue", 911
"Serra Caiada", 1612
"Pureza", 1615
"Rafael Fernandes", 720
"Rafael Godeiro", 531
"Riacho da Cruz", 422
"Riacho de Santana", 654
"Riachuelo", 1142
"Rodolfo Fernandes", 675
"Tibau", 847
"Ruy Barbosa", 466
"Santa Cruz", 5714
"Santana do Matos", 1567
"Santana do Seridó", 318
"Santo Antônio", 3698
"São Bento do Norte", 808
"São Bento do Trairí", 651
"São Fernando", 441
"São Francisco do Oeste", 578
"São Gonçalo do Amarante", 14426
"São João do Sabugi", 730
"São José de Mipibu", 7494
"São José do Campestre", 1754
"São José do Seridó", 509
"São Miguel", 3587
"São Miguel do Gostoso", 1680
"São Paulo do Potengi", 2685
"São Pedro", 1043
"São Rafael", 1049
"São Tomé", 1382
"São Vicente", 723
"Senador Elói de Souza", 948
"Senador Georgino Avelino", 772
"Serra de São Bento", 887
"Serra do Mel", 1797
"Serra Negra do Norte", 1037
"Serrinha", 1180
"Serrinha dos Pintos", 634
"Severiano Melo", 889
"Sítio Novo", 714
"Taboleiro Grande", 383
"Taipu", 2044
"Tangará", 2226
"Tenente Ananias", 1436
"Tenente Laurentino Cruz", 1096
"Tibau do Sul", 2519
"Timbaúba dos Batistas", 261
"Touros", 5827
"Triunfo Potiguar", 742
"Umarizal", 1426
"Upanema", 1886
"Várzea", 846
"Venha-Ver", 632
"Vera Cruz", 2032
"Viçosa", 225
"Vila Flor", 537
