"Local", "Mortalidade Infantil"
"Acari", -
"Açu", 8.39
"Afonso Bezerra", 8.2
"Água Nova", -
"Alexandria", -
"Almino Afonso", 16.39
"Alto do Rodrigues", 13.16
"Angicos", -
"Antônio Martins", 11.11
"Apodi", 12.08
"Areia Branca", 14.08
"Arês", 6.21
"Augusto Severo", -
"Baía Formosa", 8.2
"Baraúna", 7.33
"Barcelona", 23.81
"Bento Fernandes", 14.93
"Bodó", 23.81
"Bom Jesus", 14.39
"Brejinho", 16.95
"Caiçara do Norte", -
"Caiçara do Rio do Vento", -
"Caicó", 8.42
"Campo Redondo", -
"Canguaretama", 7.52
"Caraúbas", 20.07
"Carnaúba dos Dantas", -
"Carnaubais", 14.49
"Ceará-Mirim", 8.58
"Cerro Corá", 6.71
"Coronel Ezequiel", 13.89
"Coronel João Pessoa", 42.25
"Cruzeta", 10.64
"Currais Novos", 13.06
"Doutor Severiano", 26.55
"Parnamirim", 8.45
"Encanto", 21.51
"Equador", 31.25
"Espírito Santo", 32.61
"Extremoz", 10.99
"Felipe Guerra", 14.49
"Fernando Pedroza", 29.41
"Florânia", 8.55
"Francisco Dantas", 19.61
"Frutuoso Gomes", -
"Galinhos", 0
"Goianinha", 21.65
"Governador Dix-Sept Rosado", 5.95
"Grossos", 15.75
"Guamaré", 22.47
"Ielmo Marinho", 26.32
"Ipanguaçu", 18.69
"Ipueira", -
"Itajá", 16.67
"Itaú", 33.33
"Jaçanã", 30
"Jandaíra", 19.61
"Janduís", -
"Januário Cicco", 16.53
"Japi", 19.05
"Jardim de Angicos", -
"Jardim de Piranhas", 18.07
"Jardim do Seridó", 15.87
"João Câmara", 11.34
"João Dias", 23.81
"José da Penha", 25
"Jucurutu", 4.72
"Jundiá", 19.23
"Lagoa d'Anta", -
"Lagoa de Pedras", 11.63
"Lagoa de Velhos", 24.39
"Lagoa Nova", 8.06
"Lagoa Salgada", 14.71
"Lajes", 9.35
"Lajes Pintadas", -
"Lucrécia", 40
"Luís Gomes", 6.21
"Macaíba", 21.3
"Macau", 8.73
"Major Sales", -
"Marcelino Vieira", 34.09
"Martins", 9.9
"Maxaranguape", 18.99
"Messias Targino", -
"Montanhas", 35.21
"Monte Alegre", 13.47
"Monte das Gameleiras", 0
"Mossoró", 12.91
"Natal", 12.06
"Nísia Floresta", 18.42
"Nova Cruz", 16.74
"Olho d'Água do Borges", -
"Ouro Branco", 74.07
"Paraná", 18.87
"Paraú", -
"Parazinho", -
"Parelhas", 21.67
"Rio do Fogo", 6.33
"Passa e Fica", 6.06
"Passagem", -
"Patu", -
"Santa Maria", -
"Pau dos Ferros", 24.39
"Pedra Grande", -
"Pedra Preta", -
"Pedro Avelino", 71.43
"Pedro Velho", 11.43
"Pendências", 20.2
"Pilões", 0
"Poço Branco", 5.52
"Portalegre", 18.35
"Porto do Mangue", 13.7
"Serra Caiada", 13.25
"Pureza", 26.14
"Rafael Fernandes", 29.85
"Rafael Godeiro", -
"Riacho da Cruz", -
"Riacho de Santana", 45.45
"Riachuelo", -
"Rodolfo Fernandes", 14.08
"Tibau", 13.16
"Ruy Barbosa", -
"Santa Cruz", 9.57
"Santana do Matos", 22.56
"Santana do Seridó", 37.04
"Santo Antônio", 12.05
"São Bento do Norte", -
"São Bento do Trairí", -
"São Fernando", 22.73
"São Francisco do Oeste", -
"São Gonçalo do Amarante", 8.61
"São João do Sabugi", -
"São José de Mipibu", 12.03
"São José do Campestre", 11.83
"São José do Seridó", -
"São Miguel", 15.58
"São Miguel do Gostoso", 19.05
"São Paulo do Potengi", 12.93
"São Pedro", 73.53
"São Rafael", 11.76
"São Tomé", 21.43
"São Vicente", 13.33
"Senador Elói de Souza", 23.81
"Senador Georgino Avelino", 16.67
"Serra de São Bento", 24.39
"Serra do Mel", 4.67
"Serra Negra do Norte", -
"Serrinha", 29.13
"Serrinha dos Pintos", -
"Severiano Melo", -
"Sítio Novo", 32.79
"Taboleiro Grande", -
"Taipu", 23.12
"Tangará", 12.61
"Tenente Ananias", 12.2
"Tenente Laurentino Cruz", 11.49
"Tibau do Sul", 13.33
"Timbaúba dos Batistas", 30.3
"Touros", 9.94
"Triunfo Potiguar", -
"Umarizal", 16.39
"Upanema", 21.62
"Várzea", 20.41
"Venha-Ver", 15.38
"Vera Cruz", 30.12
"Viçosa", -
"Vila Flor", 66.67
