"Local", "undefined"
"Acari", 110768.65
"Açu", 877023.45
"Afonso Bezerra", 74886.75
"Água Nova", 24299.14
"Alexandria", 112813.92
"Almino Afonso", 34374.64
"Alto do Rodrigues", 445666.78
"Angicos", 107329.33
"Antônio Martins", 45891.85
"Apodi", 423105.59
"Areia Branca", 662156.97
"Arês", 223504.07
"Augusto Severo", 74323.11
"Baía Formosa", 144092.77
"Baraúna", 571753.05
"Barcelona", 30551.83
"Bento Fernandes", 40153.17
"Bodó", 35780.92
"Bom Jesus", 71160.84
"Brejinho", 121364.17
"Caiçara do Norte", 49545.60
"Caiçara do Rio do Vento", 31314.69
"Caicó", 1017096.48
"Campo Redondo", 69005.97
"Canguaretama", 395242.12
"Caraúbas", 262160.94
"Carnaúba dos Dantas", 77938.33
"Carnaubais", 148278.46
"Ceará-Mirim", 728398.56
"Cerro Corá", 98899.60
"Coronel Ezequiel", 41526.56
"Coronel João Pessoa", 36027.18
"Cruzeta", 85602.87
"Currais Novos", 630330.79
"Doutor Severiano", 48290.79
"Parnamirim", 4597279.74
"Encanto", 36944.24
"Equador", 62392.08
"Espírito Santo", 62630.67
"Extremoz", 299252.51
"Felipe Guerra", 74341.47
"Fernando Pedroza", 23538.60
"Florânia", 82810.40
"Francisco Dantas", 23269.13
"Frutuoso Gomes", 34473.43
"Galinhos", 70184.28
"Goianinha", 296704.19
"Governador Dix-Sept Rosado", 199937.66
"Grossos", 127908.77
"Guamaré", 1246195.19
"Ielmo Marinho", 96536.87
"Ipanguaçu", 121417.45
"Ipueira", 21915.17
"Itajá", 64949.42
"Itaú", 43905.37
"Jaçanã", 55037.72
"Jandaíra", 60278.18
"Janduís", 53233.24
"Januário Cicco", 59413.36
"Japi", 35130.38
"Jardim de Angicos", 23866.29
"Jardim de Piranhas", 136662.46
"Jardim do Seridó", 150501.09
"João Câmara", 768834.66
"João Dias", 18510.48
"José da Penha", 45056.13
"Jucurutu", 174766.27
"Jundiá", 27374.25
"Lagoa d'Anta", 47005.37
"Lagoa de Pedras", 56671.13
"Lagoa de Velhos", 30224.57
"Lagoa Nova", 127828.71
"Lagoa Salgada", 57317.49
"Lajes", 100206.33
"Lajes Pintadas", 37768.37
"Lucrécia", 40017.46
"Luís Gomes", 63189.10
"Macaíba", 1413001.77
"Macau", 792372.65
"Major Sales", 33137.21
"Marcelino Vieira", 58772.46
"Martins", 68003.78
"Maxaranguape", 98133.03
"Messias Targino", 65621.60
"Montanhas", 80487.15
"Monte Alegre", 177360.23
"Monte das Gameleiras", 19692.02
"Mossoró", 6046733.21
"Natal", 20904275.54
"Nísia Floresta", 334116.62
"Nova Cruz", 410352.78
"Olho d'Água do Borges", 33661.30
"Ouro Branco", 41084.21
"Paraná", 29972.36
"Paraú", 32660.86
"Parazinho", 225753.50
"Parelhas", 314194.08
"Rio do Fogo", 110944.68
"Passa e Fica", 99555.19
"Passagem", 26609.51
"Patu", 106572.02
"Santa Maria", 58084.92
"Pau dos Ferros", 402935.86
"Pedra Grande", 148456.93
"Pedra Preta", 23152.98
"Pedro Avelino", 52439.35
"Pedro Velho", 109867.63
"Pendências", 280434.83
"Pilões", 32117.96
"Poço Branco", 93389.14
"Portalegre", 53364.17
"Porto do Mangue", 123322.24
"Serra Caiada", 67172.74
"Pureza", 70803.08
"Rafael Fernandes", 38474.46
"Rafael Godeiro", 23743.24
"Riacho da Cruz", 26377.26
"Riacho de Santana", 31234.89
"Riachuelo", 55956.70
"Rodolfo Fernandes", 33956.27
"Tibau", 86606.20
"Ruy Barbosa", 28071.88
"Santa Cruz", 413498.52
"Santana do Matos", 118576.95
"Santana do Seridó", 32047.34
"Santo Antônio", 190415.81
"São Bento do Norte", 76775.83
"São Bento do Trairí", 34877.58
"São Fernando", 52031.06
"São Francisco do Oeste", 31563.38
"São Gonçalo do Amarante", 1555780.92
"São João do Sabugi", 51807.82
"São José de Mipibu", 692959.46
"São José do Campestre", 83268.54
"São José do Seridó", 57332.68
"São Miguel", 192714.35
"São Miguel do Gostoso", 155946.38
"São Paulo do Potengi", 141024.22
"São Pedro", 52275.54
"São Rafael", 66074.40
"São Tomé", 80729.22
"São Vicente", 52413.72
"Senador Elói de Souza", 38564.96
"Senador Georgino Avelino", 90630.86
"Serra de São Bento", 37130.88
"Serra do Mel", 106061.30
"Serra Negra do Norte", 70194.47
"Serrinha", 50968.18
"Serrinha dos Pintos", 34145.20
"Severiano Melo", 38456.94
"Sítio Novo", 35341.52
"Taboleiro Grande", 21161.29
"Taipu", 99032.85
"Tangará", 118079.86
"Tenente Ananias", 75531.06
"Tenente Laurentino Cruz", 42776.69
"Tibau do Sul", 265387.94
"Timbaúba dos Batistas", 28016.16
"Touros", 399963.91
"Triunfo Potiguar", 38702.01
"Umarizal", 110492.90
"Upanema", 140114.95
"Várzea", 37070.77
"Venha-Ver", 30528.24
"Vera Cruz", 92986.47
"Viçosa", 14837.02
"Vila Flor", 32295.66
