"Local", "undefined"
"Acari", 259
"Açu", 1569
"Afonso Bezerra", 306
"Água Nova", 93
"Alexandria", 296
"Almino Afonso", 125
"Alto do Rodrigues", 412
"Angicos", 307
"Antônio Martins", 179
"Apodi", 811
"Areia Branca", 673
"Arês", 446
"Augusto Severo", 204
"Baía Formosa", 231
"Baraúna", 905
"Barcelona", 123
"Bento Fernandes", 144
"Bodó", 113
"Bom Jesus", 351
"Brejinho", 383
"Caiçara do Norte", 103
"Caiçara do Rio do Vento", 175
"Caicó", 1426
"Campo Redondo", 270
"Canguaretama", 1138
"Caraúbas", 562
"Carnaúba dos Dantas", 231
"Carnaubais", 281
"Ceará-Mirim", 2407
"Cerro Corá", 315
"Coronel Ezequiel", 140
"Coronel João Pessoa", 106
"Cruzeta", 211
"Currais Novos", 1063
"Doutor Severiano", 170
"Parnamirim", 5743
"Encanto", 110
"Equador", 148
"Espírito Santo", 276
"Extremoz", 1208
"Felipe Guerra", 154
"Fernando Pedroza", 79
"Florânia", 260
"Francisco Dantas", 70
"Frutuoso Gomes", 116
"Galinhos", 87
"Goianinha", 1005
"Governador Dix-Sept Rosado", 446
"Grossos", 219
"Guamaré", 628
"Ielmo Marinho", 361
"Ipanguaçu", 448
"Ipueira", 45
"Itajá", 265
"Itaú", 182
"Jaçanã", 232
"Jandaíra", 212
"Janduís", 158
"Januário Cicco", 247
"Japi", 265
"Jardim de Angicos", 91
"Jardim de Piranhas", 335
"Jardim do Seridó", 244
"João Câmara", 1073
"João Dias", 62
"José da Penha", 108
"Jucurutu", 443
"Jundiá", 91
"Lagoa d'Anta", 159
"Lagoa de Pedras", 310
"Lagoa de Velhos", 103
"Lagoa Nova", 426
"Lagoa Salgada", 320
"Lajes", 238
"Lajes Pintadas", 150
"Lucrécia", 95
"Luís Gomes", 284
"Macaíba", 2163
"Macau", 732
"Major Sales", 147
"Marcelino Vieira", 187
"Martins", 164
"Maxaranguape", 262
"Messias Targino", 158
"Montanhas", 296
"Monte Alegre", 569
"Monte das Gameleiras", 63
"Mossoró", 7503
"Natal", 17763
"Nísia Floresta", 808
"Nova Cruz", 1146
"Olho d'Água do Borges", 78
"Ouro Branco", 126
"Paraná", 121
"Paraú", 108
"Parazinho", 170
"Parelhas", 583
"Rio do Fogo", 369
"Passa e Fica", 415
"Passagem", 107
"Patu", 298
"Santa Maria", 192
"Pau dos Ferros", 767
"Pedra Grande", 126
"Pedra Preta", 53
"Pedro Avelino", 179
"Pedro Velho", 460
"Pendências", 353
"Pilões", 95
"Poço Branco", 396
"Portalegre", 207
"Porto do Mangue", 186
"Serra Caiada", 324
"Pureza", 331
"Rafael Fernandes", 100
"Rafael Godeiro", 103
"Riacho da Cruz", 74
"Riacho de Santana", 118
"Riachuelo", 258
"Rodolfo Fernandes", 114
"Tibau", 176
"Ruy Barbosa", 81
"Santa Cruz", 1097
"Santana do Matos", 342
"Santana do Seridó", 83
"Santo Antônio", 762
"São Bento do Norte", 136
"São Bento do Trairí", 106
"São Fernando", 80
"São Francisco do Oeste", 111
"São Gonçalo do Amarante", 3276
"São João do Sabugi", 161
"São José de Mipibu", 1400
"São José do Campestre", 288
"São José do Seridó", 121
"São Miguel", 607
"São Miguel do Gostoso", 342
"São Paulo do Potengi", 475
"São Pedro", 186
"São Rafael", 179
"São Tomé", 267
"São Vicente", 130
"Senador Elói de Souza", 208
"Senador Georgino Avelino", 143
"Serra de São Bento", 129
"Serra do Mel", 396
"Serra Negra do Norte", 184
"Serrinha", 282
"Serrinha dos Pintos", 118
"Severiano Melo", 165
"Sítio Novo", 161
"Taboleiro Grande", 85
"Taipu", 371
"Tangará", 420
"Tenente Ananias", 272
"Tenente Laurentino Cruz", 223
"Tibau do Sul", 506
"Timbaúba dos Batistas", 48
"Touros", 955
"Triunfo Potiguar", 114
"Umarizal", 225
"Upanema", 175
"Várzea", 161
"Venha-Ver", 113
"Vera Cruz", 312
"Viçosa", 68
"Vila Flor", 83
